iter	Passed	Remaining
524	649	587
525	650	586
526	651	585
527	652	583
528	653	582
529	655	580
530	656	579
531	657	578
532	659	577
533	660	576
534	661	574
535	662	573
536	663	572
537	664	570
538	665	569
539	666	567
540	667	566
541	669	565
542	670	564
543	671	563
544	673	562
545	674	560
546	675	559
547	677	558
548	678	557
549	679	555
550	680	554
551	681	553
552	682	552
553	684	550
554	685	549
555	687	548
556	688	547
557	690	546
558	691	545
559	693	545
560	695	544
561	696	542
562	697	541
563	699	540
564	700	539
565	701	538
566	703	537
567	704	535
568	706	534
569	707	533
570	708	532
571	709	531
572	712	530
573	713	529
574	715	528
575	716	527
576	718	526
577	719	525
578	720	523
579	721	522
580	722	521
581	723	519
582	724	518
583	726	517
584	727	515
585	728	514
586	729	513
587	730	511
588	731	510
589	732	509
590	733	507
591	735	506
592	736	505
593	737	503
594	737	502
595	738	500
596	740	499
597	741	498
598	742	497
599	743	495
600	744	494
601	745	493
602	747	491
603	748	490
604	749	489
605	750	487
606	751	486
607	752	485
608	753	483
609	754	482
610	755	481
611	756	479
612	757	478
613	758	476
614	759	475
615	760	474
616	761	472
617	763	471
618	764	470
619	765	468
620	765	467
621	766	466
622	767	464
623	768	463
624	769	461
625	770	460
626	771	459
627	772	457
628	773	456
629	774	454
630	775	453
631	776	452
632	777	450
633	778	449
634	779	448
635	780	446
636	781	445
637	782	444
638	783	442
639	784	441
640	785	439
641	786	438
642	787	437
643	788	435
644	789	434
645	790	433
646	791	431
647	792	430
648	793	429
649	794	427
650	795	426
651	796	425
652	797	423
653	798	422
654	799	421
655	800	419
656	801	418
657	802	416
658	803	415
659	804	414
660	804	412
661	805	411
662	806	410
663	808	408
664	809	407
665	810	406
666	811	405
667	812	403
668	813	402
669	814	401
670	815	399
671	816	398
672	817	397
673	818	395
674	819	394
675	820	393
676	821	391
677	822	390
678	823	389
679	824	388
680	825	386
681	826	385
682	827	384
683	828	382
684	829	381
685	830	379
686	831	378
687	831	377
688	832	375
689	833	374
690	834	373
691	835	371
692	836	370
693	837	369
694	838	368
695	839	366
696	840	365
697	841	364
698	842	362
699	843	361
700	844	360
701	845	358
702	846	357
703	846	356
704	847	354
705	848	353
706	849	352
707	850	350
708	851	349
709	853	348
710	854	347
711	855	345
712	856	344
713	857	343
714	857	341
715	858	340
716	859	339
717	860	338
718	861	336
719	862	335
720	863	334
721	864	332
722	864	331
723	865	330
724	867	329
725	868	327
726	869	326
727	870	325
728	871	323
729	872	322
730	873	321
731	874	320
732	874	318
733	875	317
734	876	316
735	877	314
736	878	313
737	879	312
738	880	310
739	881	309
740	882	308
741	883	307
742	884	305
743	885	304
744	886	303
745	887	302
746	888	300
747	888	299
748	889	298
749	890	296
750	891	295
751	892	294
752	893	292
753	893	291
754	894	290
755	896	289
756	897	288
757	898	286
758	899	285
759	900	284
760	901	283
761	902	281
762	903	280
763	904	279
764	905	278
765	906	276
766	907	275
767	908	274
768	909	273
769	910	271
770	911	270
771	912	269
772	913	268
773	914	266
774	915	265
775	916	264
776	916	263
777	917	261
778	918	260
779	919	259
780	920	258
781	921	256
782	922	255
783	922	254
784	923	253
785	924	251
786	925	250
787	926	249
788	927	248
789	928	246
790	929	245
791	930	244
792	931	243
793	932	241
794	933	240
795	934	239
796	935	238
797	935	236
798	936	235
799	937	234
800	938	233
801	939	231
802	940	230
803	941	229
804	942	228
805	944	227
806	945	226
807	945	224
808	946	223
809	947	222
810	948	221
811	949	219
812	950	218
813	951	217
814	951	216
815	953	214
816	954	213
817	955	212
818	956	211
819	957	210
820	958	208
821	959	207
822	960	206
823	961	205
824	962	204
825	962	202
826	963	201
827	964	200
828	965	199
829	966	197
830	967	196
831	968	195
832	969	194
833	970	193
834	971	192
835	973	190
836	974	189
837	975	188
838	976	187
839	977	186
840	978	185
841	979	183
842	980	182
843	982	181
844	983	180
845	984	179
846	985	178
847	986	176
848	988	175
849	989	174
850	990	173
851	991	172
852	992	171
853	994	169
854	995	168
855	996	167
856	997	166
857	998	165
858	999	164
859	1000	162
860	1002	161
861	1003	160
862	1005	159
863	1006	158
864	1007	157
865	1008	156
866	1010	154
867	1011	153
868	1012	152
869	1013	151
870	1015	150
871	1016	149
872	1018	148
873	1019	146
874	1020	145
875	1022	144
876	1023	143
877	1025	142
878	1026	141
879	1027	140
880	1029	138
881	1030	137
882	1031	136
883	1033	135
884	1034	134
885	1036	133
886	1037	132
887	1038	131
888	1040	129
889	1041	128
890	1043	127
891	1044	126
892	1046	125
893	1048	124
894	1049	123
895	1050	121
896	1052	120
897	1053	119
898	1054	118
899	1055	117
900	1057	116
901	1058	114
902	1059	113
903	1061	112
904	1062	111
905	1064	110
906	1065	109
907	1066	108
908	1067	106
909	1068	105
910	1069	104
911	1070	103
912	1071	102
913	1072	100
914	1073	99
915	1074	98
916	1075	97
917	1076	96
918	1077	94
919	1078	93
920	1079	92
921	1081	91
922	1082	90
923	1083	89
924	1084	87
925	1085	86
926	1086	85
927	1087	84
928	1088	83
929	1089	82
930	1090	80
931	1091	79
932	1092	78
933	1094	77
934	1095	76
935	1096	74
936	1098	73
937	1099	72
938	1100	71
939	1101	70
940	1102	69
941	1103	67
942	1104	66
943	1105	65
944	1106	64
945	1107	63
946	1108	62
947	1109	60
948	1110	59
949	1111	58
950	1112	57
951	1113	56
952	1114	54
953	1115	53
954	1116	52
955	1117	51
956	1118	50
957	1119	49
958	1120	47
959	1121	46
960	1122	45
961	1123	44
962	1124	43
963	1125	42
964	1126	40
965	1127	39
966	1128	38
967	1129	37
968	1130	36
969	1131	34
970	1132	33
971	1133	32
972	1134	31
973	1135	30
974	1135	29
975	1137	27
976	1138	26
977	1139	25
978	1140	24
979	1141	23
980	1142	22
981	1143	20
982	1143	19
983	1144	18
984	1145	17
985	1146	16
986	1147	15
987	1148	13
988	1149	12
989	1149	11
990	1150	10
991	1152	9
992	1153	8
993	1154	6
994	1155	5
995	1156	4
996	1157	3
997	1158	2
998	1158	1
999	1159	0
